ID,feild_name,source_data_value,target_data_value
00000001,Amount,401,204
00000002,Amount,283,398
00000003,Amount,466,236
00000004,Amount,101,405
00000005,Amount,288,203
00000006,Amount,148,290
00000007,Amount,260,148
00000008,Amount,124,185
00000009,Amount,346,279
00000010,Amount,331,224
00000011,Amount,184,131
00000012,Amount,229,105
00000013,Amount,460,461
00000014,Amount,154,149
00000015,Amount,178,182
00000016,Amount,116,137
00000017,Amount,286,196
00000018,Amount,464,200
00000019,Amount,254,358
00000020,Amount,155,407
00000021,Amount,222,195
00000022,Amount,121,261
00000023,Amount,241,312
00000024,Amount,402,421
00000025,Amount,454,398
00000026,Amount,197,364
00000027,Amount,351,190
00000028,Amount,295,357
00000029,Amount,269,188
00000030,Amount,186,126
00000031,Amount,391,296
00000032,Amount,468,493
00000033,Amount,330,413
00000034,Amount,189,314
00000035,Amount,174,497
00000036,Amount,456,232
00000037,Amount,101,170
00000038,Amount,208,324
00000039,Amount,452,328
00000040,Amount,379,338
00000041,Amount,139,424
00000042,Amount,296,203
00000043,Amount,167,277
00000044,Amount,449,399
00000045,Amount,207,348
00000046,Amount,301,147
00000047,Amount,376,171
00000048,Amount,374,343
00000049,Amount,485,198
00000050,Amount,493,181
00000051,Amount,396,180
00000052,Amount,362,113
00000053,Amount,248,296
00000054,Amount,320,201
00000055,Amount,113,173
00000056,Amount,171,323
00000057,Amount,309,276
00000058,Amount,397,240
00000059,Amount,275,183
00000060,Amount,455,121
00000061,Amount,291,376
00000062,Amount,405,358
00000063,Amount,419,164
00000064,Amount,207,109
00000065,Amount,376,484
00000066,Amount,294,324
00000067,Amount,119,247
00000068,Amount,148,321
00000069,Amount,311,282
00000070,Amount,296,395
00000071,Amount,439,247
00000072,Amount,449,226
00000073,Amount,436,453
00000074,Amount,148,157
00000075,Amount,299,305
00000076,Amount,174,233
00000077,Amount,442,434
00000078,Amount,156,455
00000079,Amount,500,426
00000080,Amount,141,341
00000081,Amount,237,349
00000082,Amount,265,296
00000083,Amount,192,291
00000084,Amount,283,292
00000085,Amount,485,478
00000086,Amount,320,181
00000087,Amount,368,332
00000088,Amount,255,204
00000089,Amount,119,169
00000090,Amount,212,411
00000091,Amount,385,276
00000092,Amount,245,190
